,asin,title,author,soldBy,imgUrl,productURL,stars,reviews,price,isKindleUnlimited,category_id,isBestSeller,isEditorsPick,isGoodReadsChoice,publishedDate,category_name,Ranking,ranking_Parenting & Relationships,ranking_Engineering & Transportation,ranking_Science & Math,"ranking_Mystery, Thriller & Suspense","ranking_Crafts, Hobbies & Home",ranking_Literature & Fiction,ranking_Biographies & Memoirs,ranking_Computers & Technology,ranking_Politics & Social Sciences,ranking_Teen & Young Adult,ranking_Foreign Language,ranking_Science Fiction & Fantasy,ranking_Travel,ranking_LGBTQ+ eBooks,ranking_Religion & Spirituality,ranking_Arts & Photo graphy,ranking_Comics,ranking_Education & Teaching,ranking_History,"ranking_Cookbooks, Food & Wine",ranking_Nonfiction,ranking_Self-Help,ranking_Romance,ranking_Humor & Entertainment,ranking_Reference,"ranking_Health, Fitness & Dieting",ranking_Sports & Outdoors,ranking_Medical,ranking_Business & Money,ranking_Law,ranking_Children's eBooks
93475,B010KMOPI0,Vegan Under Pressure: Perfect Vegan Meals Made Quick and Easy in Your Pressure Cooker,Jill Nussinow,HarperCollins Publishers,https://m.media-amazon.com/images/I/A1VA-2qCzOL._AC_UY218_.jpg,https://www.amazon.com/dp/B010KMOPI0,4.5,1086,14.99,False,18,False,False,False,2016-01-12,"Cookbooks, Food & Wine",93476,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,
93492,B08XR153X7,LaBelle Cuisine: Recipes to Sing About,Patti LaBelle,Simon and Schuster Digital Sales Inc,https://m.media-amazon.com/images/I/71CtXg0XPAS._AC_UY218_.jpg,https://www.amazon.com/dp/B08XR153X7,4.7,914,14.99,False,18,False,False,False,2021-07-06,"Cookbooks, Food & Wine",93493,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,
93518,B003OBZODK,"Vegan Soul Kitchen: Fresh, Healthy, and Creative African-American Cuisine",Bryant Terry,Hachette Book Group,https://m.media-amazon.com/images/I/81r1bDVuj4L._AC_UY218_.jpg,https://www.amazon.com/dp/B003OBZODK,4.6,1157,3.99,False,18,False,False,False,2009-03-03,"Cookbooks, Food & Wine",93519,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,
93521,B081TMY889,"The Big Book of Bourbon Cocktails: 100 Timeless, Creative & Tempting Recipes",Amy Zavatto,Amazon.com Services LLC,https://m.media-amazon.com/images/I/81z50enKiLL._AC_UY218_.jpg,https://www.amazon.com/dp/B081TMY889,4.8,1109,6.99,True,18,False,True,False,2019-12-10,"Cookbooks, Food & Wine",93522,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,
93532,B09PLKKHCL,Keto Quick Start: A Beginner's Guide to a Whole-Foods Ketogenic Diet,Diane Sanfilippo,Penguin Random House Publisher Services,https://m.media-amazon.com/images/I/91Mm0eCLDjL._AC_UY218_.jpg,https://www.amazon.com/dp/B09PLKKHCL,4.6,1100,9.99,False,18,False,False,False,2019-01-01,"Cookbooks, Food & Wine",93533,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,,,
93547,B09PLKV3VQ,Keto Made Easy: 100+ Easy Keto Dishes Made Fast to Fit Your Life,Megha Barot,Penguin Random House Publisher Services,https://m.media-amazon.com/images/I/91MXQ3h618L._AC_UY218_.jpg,https://www.amazon.com/dp/B09PLKV3VQ,4.6,3178,9.99,False,18,False,False,False,2018-05-15,"Cookbooks, Food & Wine",93548,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,
93591,B00U27BMPS,"Plant-Powered Families: Over 100 Kid-Tested, Whole-Foods Vegan Recipes",Dreena Burton,Penguin Random House Publisher Services,https://m.media-amazon.com/images/I/81DAzkIM0HS._AC_UY218_.jpg,https://www.amazon.com/dp/B00U27BMPS,4.5,1003,9.99,False,18,False,False,False,nan,"Cookbooks, Food & Wine",93592,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,
93621,B09TWXY4RK,Plant Based Cookbook For Beginners: 600 Healthy Plant-Based Recipes For Everyday (Vegan Cookbook 1),Sidney Johnson,Amazon.com Services LLC,https://m.media-amazon.com/images/I/91pt60KYC9L._AC_UY218_.jpg,https://www.amazon.com/dp/B09TWXY4RK,4.3,927,4.99,True,18,False,False,False,nan,"Cookbooks, Food & Wine",93622,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,
93627,B0BMPRJ7RF,Bored of Lunch: The Healthy Air Fryer Book: THE NO.1 BESTSELLER,Nathan Anthony,nan,https://m.media-amazon.com/images/I/81anCS3GCbL._AC_UY218_.jpg,https://www.amazon.com/dp/B0BMPRJ7RF,4.5,4964,0.0,False,18,False,False,False,2023-03-16,"Cookbooks, Food & Wine",93628,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,
93634,B08CGQ9SKW,"Feel Great Lose Weight: Long term, simple habits for lasting and sustainable weight loss",Rangan Chatterjee,nan,https://m.media-amazon.com/images/I/817vaJp2ueL._AC_UY218_.jpg,https://www.amazon.com/dp/B08CGQ9SKW,4.6,2704,0.0,False,18,False,False,False,2020-12-31,"Cookbooks, Food & Wine",93635,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,
