,price,ranks,title,no_of_reviews,ratings,author,cover_type,year,genre
592,4.78,1.0,First 100 Words: A Padded Board Book,35236.0,4.7,Roger Priddy,Board book,2015,Non Fiction
593,8.32,2.0,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,28111.0,4.5,Marie Kondō,Hardcover,2015,Non Fiction
594,4.99,3.0,Laugh-Out-Loud Jokes for Kids,10751.0,4.6,Rob Elliott,Paperback,2015,Non Fiction
595,9.99,4.0,Secret Garden: An Inky Treasure Hunt and Coloring Book for Adults,15022.0,4.7,Johanna Basford,Paperback,2015,Non Fiction
596,18.29,5.0,StrengthsFinder 2.0,7082.0,4.1,Gallup,Hardcover,2015,Non Fiction
597,15.83,6.0,Go Set a Watchman: A Novel,18592.0,3.7,Harper Lee,Hardcover,2015,Fiction
598,12.15,7.0,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints)",8106.0,4.7,Johanna Basford,Paperback,2015,Non Fiction
599,18.98,8.0,All the Light We Cannot See,67291.0,4.6,Anthony Doerr,Hardcover,2015,Fiction
600,14.24,9.0,The Girl on the Train,91515.0,4.1,Paula Hawkins,Hardcover,2015,Fiction
601,6.91,10.0,Adult Coloring Book: Stress Relieving Patterns,4253.0,4.5,Blue Star Coloring,Paperback,2015,Non Fiction
602,8.78,11.0,Diary of a Wimpy Kid #10: Old School,14243.0,4.8,Jeff Kinney,Hardcover,2015,Fiction
603,17.36,12.0,To Kill a Mockingbird,68842.0,4.8,Harper Lee,Mass Market Paperback,2015,Fiction
604,7.99,13.0,Adult Coloring Book: Stress Relieving Animal Designs,3924.0,4.6,Blue Star Coloring,Paperback,2015,Non Fiction
605,8.49,14.0,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",3138.0,4.5,Coloring Books for Adults,Paperback,2015,Non Fiction
606,16.12,15.0,Humans of New York : Stories,5061.0,4.9,Brandon Stanton,Hardcover,2015,Non Fiction
607,10.41,16.0,The Martian,51405.0,4.7,Andy Weir,Paperback,2015,Fiction
608,8.48,17.0,"Oh, the Places You'll Go!Â Â",42848.0,4.9,Dr. Seuss,Hardcover,2015,Fiction
609,4.44,18.0,Knock-Knock Jokes for Kids (Laugh-Out-Loud Jokes for Kids),5687.0,4.5,Rob Elliott,Paperback,2015,Fiction
610,5.0,19.0,Dear Zoo: A Lift-the-Flap Book,26368.0,4.8,Rod Campbell,Board book,2015,Fiction
611,9.19,20.0,The Day the Crayons Quit,19898.0,4.8,Drew Daywalt,Hardcover,2015,Fiction
612,14.03,21.0,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,31128.0,4.8,Daniel James Brown,Paperback,2015,Non Fiction
613,7.53,22.0,"Jesus Calling, Padded Hardcover, with Scripture references",31196.0,4.9,Sarah Young,Hardcover,2015,Non Fiction
614,8.55,23.0,Mindset: The New Psychology of Success,13911.0,4.6,Carol S. Dweck,Paperback,2015,Non Fiction
615,12.76,24.0,"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades Of Grey Series, 4)",37799.0,4.5,E L James,Paperback,2015,Fiction
616,5.99,25.0,Creative Haven Creative Cats Coloring Book (Adult Coloring),5114.0,4.8,Marjorie Sarnat,Paperback,2015,Non Fiction
617,10.5,26.0,How to Win Friends & Influence People,79094.0,4.7,Dale Carnegie,Paperback,2015,Non Fiction
618,7.57,27.0,The 5 Love Languages: The Secret to Love that Lasts,69866.0,4.8,Gary Chapman,Paperback,2015,Non Fiction
619,11.95,28.0,Balance (Angie's  Extreme Stress Menders),2270.0,4.6,Angie Grace,Paperback,2015,Non Fiction
620,5.38,29.0,Creative Haven Owls Coloring Book (Adult Coloring),5205.0,4.7,Marjorie Sarnat,Paperback,2015,Non Fiction
